transaction_date,country,transaction_count,total_amount_usd_equivalent,average_transaction_amount,successful_transactions,failed_transactions,unique_users
2022-01-31,Germany,1,2336.95,2336.95,1,0,1
2022-01-31,France,1,4470.87,4470.87,1,0,1
2023-11-14,Japan,1,2061.63,2061.63,1,0,1
2023-11-14,France,1,4687.67,4687.67,1,0,1
2023-11-14,USA,2,861.5,430.75,2,0,2
2023-08-06,UK,1,3506.45,3506.45,1,0,1
2023-08-06,Canada,1,3262.49,3262.49,1,0,1
2025-03-09,UK,1,4674.3,4674.3,1,0,1
2025-03-09,Australia,1,3593.21,3593.21,0,0,1
2025-03-09,Japan,2,3773.2,1886.6,2,0,2
2022-09-12,UK,1,1575.33,1575.33,1,0,1
2022-09-12,France,1,2448.07,2448.07,1,0,1
2022-09-12,USA,1,170.5,170.5,1,0,1
2022-09-12,Germany,1,1912.1,1912.1,1,0,1
2022-09-12,Japan,2,1814.69,907.345,1,0,2
2022-09-12,Canada,2,7710.88,3855.44,2,0,2
2022-11-14,USA,1,1707.27,1707.27,1,0,1
2022-11-14,France,2,4788.01,2394.005,1,0,2
2022-11-14,Australia,2,1144.23,572.115,2,0,2
2023-01-13,France,1,664.53,664.53,0,0,1
2023-01-13,Germany,1,4797,4797,1,0,1
2024-05-20,Germany,1,123.25,123.25,1,0,1
2024-05-20,UK,1,3491.14,3491.14,1,0,1
2024-05-20,Japan,2,4687.4800000000005,2343.74,2,0,2
2024-05-20,USA,3,3655.5299999999997,1218.51,2,1,3
2024-04-14,Australia,1,3355.22,3355.22,0,1,1
2024-04-14,Germany,1,1162.97,1162.97,1,0,1
2024-04-14,France,1,1120.59,1120.59,1,0,1
2022-08-05,Australia,1,411,411,0,0,1
2022-08-05,France,1,347.59,347.59,1,0,1
2022-08-05,USA,1,4493.81,4493.81,1,0,1
2022-08-05,UK,2,4393.4,2196.7,2,0,2
2022-08-05,Germany,2,4223.65,2111.825,2,0,2
2024-10-06,Australia,1,3797.73,3797.73,1,0,1
2024-10-06,UK,1,570.06,570.06,1,0,1
