transaction_date,region,transaction_count,total_amount_usd_equivalent,average_transaction_amount,successful_transactions,failed_transactions,unique_users
2024-07-01,North America West,2,6855.76,3427.88,0,2,2
2024-07-01,North America East,2,7166.27,3583.135,0,2,2
2024-07-01,Europe West,1,3509.71,3509.71,1,0,1
2024-02-02,Europe West,1,1645.15,1645.15,1,0,1
2024-02-02,APAC,1,1044.86,1044.86,1,0,1
2024-02-02,North America West,1,3748.68,3748.68,1,0,1
2024-02-02,North America East,1,859.09,859.09,0,1,1
2024-02-29,North America West,1,1145.57,1145.57,1,0,1
2024-02-29,Europe West,1,4390.89,4390.89,1,0,1
2024-08-11,Europe Central,1,15.76,15.76,1,0,1
2024-08-11,North America East,1,306.56,306.56,1,0,1
2024-08-11,Europe West,1,3225.25,3225.25,1,0,1
2024-08-11,APAC,1,2947.15,2947.15,1,0,1
2024-08-11,North America West,1,3453.47,3453.47,0,1,1
2024-03-13,North America East,1,2027.25,2027.25,0,0,1
2024-04-20,North America East,1,3624.84,3624.84,1,0,1
2024-04-20,Europe Central,1,3936.34,3936.34,1,0,1
2024-07-02,North America West,2,4229.69,2114.845,1,0,2
2024-07-02,Europe West,2,3691.5,1845.75,2,0,2
2024-07-02,Europe Central,2,8793.9900000000016,4396.9950000000008,2,0,2
2024-06-18,APAC,2,3396.59,1698.295,2,0,2
2024-06-18,North America West,1,3596.62,3596.62,1,0,1
2024-06-18,Europe West,1,3067.51,3067.51,0,0,1
2024-06-18,Europe Central,3,6974.75,2324.9166666666665,3,0,3
2024-07-04,Europe Central,1,2030.81,2030.81,1,0,1
2024-07-04,Europe West,1,4325.33,4325.33,0,1,1
2024-07-04,North America West,5,13561.96,2712.392,5,0,5
2024-07-04,North America East,4,7222.6699999999992,1805.6674999999998,4,0,4
2024-03-12,North America East,1,1547.78,1547.78,1,0,1
2024-03-12,Europe West,2,2484.81,1242.405,1,0,2
2024-03-12,APAC,1,2763.49,2763.49,1,0,1
2024-03-12,Europe Central,1,4482.63,4482.63,0,1,1
2024-11-25,Europe West,3,3265.5199999999995,1088.5066666666667,2,1,3
2024-11-25,APAC,1,3097.2,3097.2,1,0,1
2024-06-19,North America West,1,4867.25,4867.25,0,1,1
2024-07-25,APAC,1,2463.08,2463.08,1,0,1
2024-07-25,Europe Central,2,4187.32,2093.66,1,0,2
2024-07-25,Europe West,2,5534.7,2767.35,1,0,2
2024-07-25,North America East,2,3506.6400000000003,1753.3200000000002,2,0,2
2024-07-25,North America West,6,12572.949999999999,2095.4916666666668,5,0,6
2024-02-28,Europe West,1,4296.23,4296.23,0,1,1
2024-02-28,APAC,1,3374.29,3374.29,1,0,1
2022-02-05,Europe Central,1,2573.24,2573.24,1,0,1
2022-02-05,Europe West,1,3283.44,3283.44,1,0,1
2022-02-05,APAC,1,4935.32,4935.32,1,0,1
2022-02-05,North America East,1,2390.1,2390.1,1,0,1
2022-07-29,Europe Central,1,1308.23,1308.23,1,0,1
2022-07-29,Europe West,1,2745.47,2745.47,1,0,1
2022-07-29,APAC,1,2626.77,2626.77,1,0,1
2024-07-27,Europe Central,1,3175.21,3175.21,0,1,1
2024-07-27,North America West,1,895.32,895.32,1,0,1
2024-07-27,Europe West,2,4652.51,2326.255,2,0,2
2024-09-23,North America West,1,2427.52,2427.52,1,0,1
2024-09-23,Europe West,2,3364.16,1682.08,2,0,2
2024-09-23,Europe Central,2,3527.26,1763.63,2,0,2
2022-11-20,North America West,1,4450.61,4450.61,1,0,1
2022-11-20,Europe Central,1,1773.23,1773.23,1,0,1
2022-11-20,Europe West,1,4659.63,4659.63,1,0,1
2022-11-20,APAC,3,6570.38,2190.126666666667,2,1,3
2022-02-02,Europe West,1,4992.36,4992.36,1,0,1
2022-02-02,North America West,1,1864.92,1864.92,1,0,1
2024-02-01,North America East,1,2771.55,2771.55,1,0,1
2024-02-01,North America West,1,388.34,388.34,1,0,1
2024-02-01,Europe West,2,4686.62,2343.3100000000004,2,0,2
2024-10-19,Europe West,1,488.46,488.46,1,0,1
